,"EUR,AL","EUR,AT","EUR,BE","EUR,BG","EUR,CH","EUR,CY","EUR,CZ","EUR,DE","EUR,DK","EUR,EE","EUR,EL","EUR,ES","EUR,FI","EUR,FR","EUR,HR","EUR,HU","EUR,IE","EUR,IS","EUR,IT","EUR,LT","EUR,LU","EUR,LV","EUR,ME","EUR,MK","EUR,MT","EUR,NL","EUR,NO","EUR,PL","EUR,PT","EUR,RO","EUR,RS","EUR,SE","EUR,SI","EUR,SK","EUR,TR","EUR,UK","EUR,US","NAC,AL","NAC,AT","NAC,BE","NAC,BG","NAC,CH","NAC,CY","NAC,CZ","NAC,DE","NAC,DK","NAC,EE","NAC,EL","NAC,ES","NAC,FI","NAC,FR","NAC,HR","NAC,HU","NAC,IE","NAC,IS","NAC,IT","NAC,LT","NAC,LU","NAC,LV","NAC,ME","NAC,MK","NAC,MT","NAC,NL","NAC,NO","NAC,PL","NAC,PT","NAC,RO","NAC,RS","NAC,SE","NAC,SI","NAC,SK","NAC,TR","NAC,UK","NAC,US","PPS,AL","PPS,AT","PPS,BE","PPS,BG","PPS,CH","PPS,CY","PPS,CZ","PPS,DE","PPS,DK","PPS,EE","PPS,EL","PPS,ES","PPS,FI","PPS,FR","PPS,HR","PPS,HU","PPS,IE","PPS,IS","PPS,IT","PPS,LT","PPS,LU","PPS,LV","PPS,ME","PPS,MK","PPS,MT","PPS,NL","PPS,NO","PPS,PL","PPS,PT","PPS,RO","PPS,RS","PPS,SE","PPS,SI","PPS,SK","PPS,TR","PPS,UK","PPS,US"
2019-06-30,210.66,,1593.81,286.33,,,518.97,,,540.0,683.76,1050.0,,1521.22,,464.2,,,,555.0,2071.1,430.0,,,757.64,1615.8,,523.09,700.0,446.02,,,886.63,520.0,422.26,1453.28,1097.53,26000.0,,1593.81,560.0,,,13350.0,,,540.0,683.76,1050.0,,1521.22,,149000.0,,,,555.0,2071.1,430.0,,,757.64,1615.8,,2250.0,700.0,2080.0,36408.27,,886.63,520.0,2558.4,1300.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,190.58,,1562.59,260.76,,,468.87,,,500.0,683.76,858.55,,1498.47,,418.47,,,,400.0,1998.59,430.0,,,747.54,1594.2,,480.2,676.67,407.45,,,842.79,480.0,380.16,1467.19,1077.94,24000.0,,1562.59,510.0,,,12200.0,,,500.0,683.76,858.55,,1498.47,,138000.0,,,,400.0,1998.59,430.0,,,747.54,1594.2,,2100.0,676.67,1900.0,33355.21,,842.79,480.0,2029.5,1300.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,180.52,,1562.59,260.76,,,477.78,,,500.0,683.76,858.55,,1498.47,,444.69,,,,400.0,1998.59,430.0,,,747.54,1578.0,,502.75,676.67,407.86,,,842.79,480.0,446.4,1400.99,1047.83,24000.0,,1562.59,510.0,,,12200.0,,,500.0,683.76,858.55,,1498.47,,138000.0,,,,400.0,1998.59,430.0,,,747.54,1578.0,,2100.0,676.67,1900.0,33813.12,,842.79,480.0,2029.5,1243.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,181.01,,1562.59,235.2,,,419.9,,,470.0,683.76,825.65,,1480.27,,412.66,,,,380.0,1998.59,380.0,,,735.63,1565.4,,473.27,649.83,318.52,,,804.96,435.0,442.89,1413.58,1101.18,24000.0,,1562.59,460.0,,,11000.0,,,470.0,683.76,825.65,,1480.27,,127500.0,,,,380.0,1998.59,380.0,,,735.63,1565.4,,2000.0,649.83,1450.0,30586.31,,804.96,435.0,1777.5,1243.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,162.69,,1531.93,235.2,,,407.09,,,470.0,683.76,825.65,,1480.27,,411.52,,,,380.0,1998.59,380.0,,,735.63,1551.6,,453.48,649.83,275.39,,,804.96,435.0,479.47,1393.4,1192.17,22000.0,,1531.93,460.0,,,11000.0,,,470.0,683.76,825.65,,1480.27,,127500.0,,,,380.0,1998.59,380.0,,,735.63,1551.6,,2000.0,649.83,1250.0,30612.84,,804.96,435.0,1777.5,1193.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,160.2,,1531.93,214.75,,,364.9,,,430.0,683.76,764.4,,1466.62,,350.09,,,,380.0,1922.96,370.0,,,728.04,1537.2,,417.02,618.33,276.34,,,790.73,405.0,513.72,1443.44,1131.93,22000.0,,1531.93,420.0,,,9900.0,,,430.0,683.76,764.4,,1466.62,,111000.0,,,,380.0,1922.96,370.0,,,728.04,1537.2,,1850.0,618.33,1250.0,28378.89,,790.73,405.0,1647.0,1193.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,160.26,,1501.82,214.75,,,366.35,,,430.0,683.76,764.4,,1466.62,,351.29,,,,350.0,1922.96,370.0,,,728.04,1524.6,,433.88,618.33,232.1,,,790.73,405.0,518.5,1512.36,1154.28,22000.0,,1501.82,420.0,,,9900.0,,,430.0,683.76,764.4,,1466.62,,111000.0,,,,350.0,1922.96,370.0,,,728.04,1524.6,,1850.0,618.33,1050.0,28403.28,,790.73,405.0,1647.0,1110.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,157.6,,1501.82,194.29,,,340.35,,,390.0,683.76,756.7,,1457.52,,340.58,,,,325.0,1922.96,360.0,,,720.46,1507.8,,422.35,589.17,238.38,,,790.73,380.0,417.75,1525.35,1145.86,22000.0,,1501.82,380.0,,,9200.0,,,390.0,683.76,756.7,,1457.52,,105000.0,,,,325.0,1922.96,360.0,,,720.46,1507.8,,1750.0,589.17,1050.0,28403.28,,790.73,380.0,1273.5,1074.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,156.99,,1501.82,184.07,,,331.71,,,390.0,683.76,756.7,,1457.52,,332.76,,,,300.0,1922.96,360.0,,,720.46,1501.8,,409.53,589.17,217.5,,,790.73,380.0,424.26,1378.87,1035.06,22000.0,,1501.82,360.0,,,9200.0,,,390.0,683.76,756.7,,1457.52,,105000.0,,,,300.0,1922.96,360.0,,,720.46,1501.8,,1750.0,589.17,975.0,28430.53,,790.73,380.0,1201.5,1074.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,156.85,,1501.82,173.84,,,309.62,,,355.0,683.76,752.85,,1445.38,,328.16,,,,289.62,1921.03,320.0,,,717.95,1495.2,,404.16,565.83,205.34,,,789.15,352.0,391.45,1301.31,920.1,22000.0,,1501.82,340.0,,,8500.0,,,355.0,683.76,752.85,,1445.38,,101500.0,,,,289.62,1921.03,320.0,,,717.95,1495.2,,1680.0,565.83,900.0,26941.23,,789.15,352.0,1134.0,1043.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,156.92,,1501.82,173.84,,,309.91,,,355.0,683.76,752.85,,1445.38,,341.7,,,,289.62,1921.03,320.0,,,717.95,1485.6,,404.4,565.83,190.11,,,789.15,352.0,361.76,1251.05,911.22,22000.0,,1501.82,340.0,,,8500.0,,,355.0,683.76,752.85,,1445.38,,101500.0,,,,289.62,1921.03,320.0,,,717.95,1485.6,,1680.0,565.83,850.0,26975.75,,789.15,352.0,1071.0,1043.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,156.07,,1501.82,158.5,,,308.3,,,320.0,683.76,752.85,,1430.22,,332.37,,,,289.62,1874.19,284.74,,,702.82,1477.8,,368.87,565.83,179.36,,,783.66,337.7,405.2,1189.92,960.76,22000.0,,1501.82,310.0,,,8000.0,,,320.0,683.76,752.85,,1430.22,,98000.0,,,,289.62,1874.19,284.57,,,702.82,1477.8,,1600.0,565.83,800.0,26975.75,,783.66,337.7,1021.5,1020.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,150.44,,1501.82,158.5,,,318.08,,,320.0,683.76,752.85,,1430.22,,335.27,,,,289.62,1874.19,286.66,,,702.82,1469.4,,392.73,565.83,157.5,,,783.66,337.7,415.52,1249.85,952.46,21000.0,,1501.82,310.0,,,8000.0,,,320.0,683.76,752.85,,1430.22,,98000.0,,,,289.62,1874.19,284.57,,,702.82,1469.4,,1600.0,565.83,700.0,27205.93,,783.66,337.7,978.6,1020.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,151.99,,1472.42,148.28,,,312.01,,,290.0,683.76,748.3,,1425.67,,323.17,,,,231.7,1801.49,287.07,,,685.14,1456.2,,353.04,565.83,157.26,,,763.06,327.0,411.89,1244.42,998.15,21000.0,,1472.42,290.0,,,8000.0,,,290.0,683.76,748.3,,1425.67,,93000.0,,,,231.7,1801.49,284.57,,,685.14,1456.2,,1500.0,565.83,700.0,27205.93,,763.06,327.0,940.5,1004.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,143.96,,1443.54,138.05,,,310.23,,,290.0,876.62,748.3,,1398.37,,295.63,,,,231.7,1801.49,285.92,,,685.14,1446.6,,336.47,565.83,161.91,,,763.06,327.0,362.84,1201.96,971.22,20000.0,,1443.54,270.0,,,8000.0,,,290.0,876.62,748.3,,1398.37,,93000.0,,,,231.7,1801.49,284.57,,,685.14,1446.6,,1500.0,565.83,700.0,24066.76,,763.06,327.0,886.5,1004.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,141.43,,1443.54,122.71,,,328.61,,,278.02,876.62,748.3,,1365.0,,293.11,,,,231.7,1757.56,281.97,,,664.95,1435.2,,347.34,565.83,157.89,,,748.1,317.0,356.17,1083.6,869.48,20000.0,,1443.54,240.0,,,8000.0,,,278.02,876.62,748.3,,1365.0,,78000.0,,,,231.7,1757.56,284.57,,,664.95,1435.2,,1386.0,565.83,670.0,24066.76,,748.1,317.0,837.0,978.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,136.92,,1415.24,122.71,,,319.22,,,278.02,862.82,748.3,,1365.0,,280.63,,,,231.7,1757.56,281.93,,,664.95,1424.4,,348.68,565.83,157.2,,,748.1,317.0,384.89,1136.22,940.48,19000.0,,1415.24,240.0,,,8000.0,,,278.02,862.82,748.3,,1365.0,,78000.0,,,,231.7,1757.56,284.57,,,664.95,1424.4,,1386.0,565.83,670.0,22458.66,,748.1,317.0,796.5,978.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,139.25,,1387.5,122.71,,,311.39,,,278.02,862.82,738.85,,1343.77,,256.99,,,,231.7,1724.81,253.77,,,659.92,1416.0,,317.58,554.17,137.3,,,734.15,307.7,392.01,1169.49,1024.09,19000.0,,1387.5,240.0,,,8000.0,,,278.02,862.82,738.85,,1343.77,,73500.0,,,,231.7,1724.81,256.12,,,659.92,1416.0,,1317.0,554.17,600.0,21217.57,,734.15,307.7,760.5,956.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,130.47,,1387.5,122.71,,,302.19,,,278.02,862.82,738.85,,1343.77,,271.8,,,,231.7,1682.76,253.77,,,659.92,1407.6,,320.87,554.17,141.63,,,597.43,307.7,338.33,1076.46,872.32,18000.0,,1387.5,240.0,,,8000.0,,,278.02,862.82,738.85,,1343.77,,73500.0,,,,231.7,1682.76,256.12,,,659.92,1407.6,,1317.0,554.17,600.0,21323.02,,597.43,307.7,729.0,956.0,1256.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,137.66,,1387.5,122.71,,,309.1,,,278.02,862.82,728.0,,1337.7,,263.3,,,,231.7,1682.76,255.83,,,634.88,1398.6,,286.61,525.0,142.61,,,589.19,295.5,320.81,1112.55,803.26,18000.0,,1387.5,240.0,,,8000.0,,,278.02,862.82,728.0,,1337.7,,71500.0,,,,231.7,1682.76,256.12,,,634.88,1398.6,,1276.0,525.0,600.0,20578.37,,589.19,295.5,693.4,948.0,1135.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,137.32,,1387.5,122.71,,,297.67,,,278.02,817.83,728.0,,1321.02,,268.09,,,,231.7,1641.74,254.13,,,634.88,1381.2,,307.21,525.0,149.16,,,589.19,295.5,309.94,995.28,815.79,17000.0,,1387.5,240.0,,,8000.0,,,278.02,817.83,728.0,,1321.02,,71500.0,,,,231.7,1641.74,256.12,,,634.88,1381.2,,1276.0,525.0,600.0,20643.08,,589.19,295.5,666.0,948.0,1135.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,139.29,,1335.8,112.49,,,334.83,,,278.02,794.02,700.0,,1321.02,,293.08,,,,231.7,1609.53,227.05,,,617.21,1356.6,,335.99,497.0,137.31,,,566.5,268.17,330.54,1149.89,643.24,17000.0,,1335.8,220.0,,,8000.0,,,278.02,794.02,700.0,,1321.02,,69000.0,,,,231.7,1609.53,227.66,,,617.21,1356.6,,1126.0,497.0,500.0,18409.13,,566.5,268.87,638.7,911.0,1014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,131.38,,1309.6,112.49,,,300.44,,,278.02,794.02,700.0,,1280.07,,271.94,,,,231.7,1570.28,229.75,,,617.21,1335.0,,313.34,497.0,138.59,,,538.53,241.19,354.34,1242.24,688.81,16000.0,,1309.6,220.0,,,8000.0,,,278.02,794.02,700.0,,1280.07,,69000.0,,,,231.7,1570.28,227.66,,,617.21,1335.0,,1126.0,497.0,500.0,16510.7,,538.53,268.87,608.4,911.0,1014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,114.91,,1283.0,92.03,,,278.57,,,230.08,767.55,665.7,,1280.07,,266.1,,,,202.73,1570.28,172.34,,,601.9,1317.0,,248.43,470.17,124.44,,,521.8,225.96,329.76,1310.09,660.99,14000.0,,1283.0,180.0,,,8000.0,,,230.08,767.55,665.7,,1280.07,,65500.0,,,,202.73,1570.28,170.74,,,601.9,1317.0,,936.0,470.17,390.0,14897.29,,521.8,252.27,585.0,883.0,892.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30,113.04,,1259.0,92.03,,,291.07,,,230.08,730.3,665.7,,1254.28,,260.16,,,,173.77,1570.28,172.12,,,601.9,1300.8,,244.32,470.17,115.27,,,521.8,220.71,301.77,1314.97,677.81,14000.0,,1259.0,180.0,,,8000.0,,,230.08,730.3,665.7,,1254.28,,65500.0,,,,173.77,1570.28,170.74,,,601.9,1300.8,,936.0,470.17,390.0,12796.01,,521.8,252.27,562.5,883.0,892.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,113.57,,1234.0,81.81,,,279.19,,,191.73,709.71,631.05,,1254.28,,220.58,,,,173.77,1503.42,129.29,,,584.24,1284.6,,221.72,449.98,92.43,,,511.62,179.92,264.51,1200.69,702.17,14000.0,,1234.0,160.0,,,7955.0,,,191.73,709.71,631.05,,1254.28,,62500.0,,,,173.77,1503.42,128.06,,,584.24,1284.6,,899.0,449.98,330.0,12519.82,,511.6,229.04,531.0,831.0,892.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
