purchase,unit,geo\time	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 
DW_EXST,INX_Q,AT	122.53 	119.63 	118.56 	116.90 	114.54 	115.31 	113.79 	110.05 	110.19 	110.09 	107.36 	102.12 	104.53 	99.76 	93.59 	96.32 	94.89 	95.85 	94.01 	91.90 	95.11 	91.46 	90.74 	89.21 	89.26 	86.56 	85.36 	83.38 	82.79 	80.99 	78.69 	78.42 	78.46 	75.96 	73.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,BE	109.84 p	107.84 	107.25 	106.75 	107.48 	104.31 	104.63 	103.56 p	104.01 p	101.31 p	100.23 p	100.65 p	101.68 p	99.58 p	98.09 p	100.73 	99.83 	98.92 	98.06 	98.89 	100.61 	98.95 	99.29 	99.16 	100.09 	98.59 	98.62 	97.87 	98.28 	96.13 	95.05 	94.83 	94.34 	92.00 	90.99 	89.79 	90.45 	87.85 	88.61 	89.78 	90.96 	89.08 	87.79 	86.95 	86.44 	84.35 	82.45 	80.46 	79.79 	77.02 	74.83 	73.36 	71.64 	68.35 	66.35 
DW_EXST,INX_Q,BG	126.41 p	126.21 p	123.43 p	121.84 	119.47 	117.23 	112.55 	110.77 	107.75 	107.35 	103.50 	101.85 	98.55 	99.88 	99.73 	98.30 	97.65 	97.71 	97.39 	97.17 	97.23 	97.37 	97.43 	98.36 	99.05 	99.53 	99.37 	99.77 	101.32 	102.18 	103.84 	106.32 	107.89 	109.18 	110.01 	112.61 p	114.82 p	120.84 p	133.85 p	152.82 p	159.43 p	154.71 p	146.13 p	136.79 p	125.77 p	117.02 p	111.07 p	101.60 p	96.29 p	92.09 p	90.60 p	86.51 p	84.47 p	82.10 p	78.73 p
DW_EXST,INX_Q,CY	101.15 p	99.52 p	101.91 p	101.08 p	100.38 p	101.65 p	100.02 p	97.84 p	100.00 p	99.20 p	100.37 p	99.64 p	100.84 p	100.16 p	99.36 p	101.13 p	104.21 p	99.12 p	102.04 p	104.10 p	101.63 p	100.22 p	97.84 p	106.42 p	105.15 p	104.94 p	105.78 p	109.66 p	112.32 p	112.43 p	107.70 p	111.87 p	109.22 p	106.10 p	107.92 p	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
DW_EXST,INX_Q,CZ	130.8 p	127.9 	124.7 	122.2 p	120.9 	118.9 	116.2 	113.0 p	107.9 	105.1 	103.1 	101.7 p	100.6 	99.3 	98.4 	97.4 	96.6 	95.8 	94.9 	93.8 	94.0 	94.1 	93.6 	93.6 	94.0 	94.1 	94.0 	94.4 	95.3 	95.7 	95.2 	95.0 	94.8 	94.9 	94.9 	94.8 	95.1 	96.1 	99.7 	102.6 	103.4 	101.7 	97.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,DE	118.1 p	115.7 p	113.7 p	114.3 	112.1 	110.3 	108.0 	109.1 	107.4 	105.8 	102.5 	101.7 	100.4 	100.1 	97.8 	96.1 	96.3 	95.9 	94.0 	93.3 	93.1 	93.2 	91.4 	91.6 	90.4 	89.0 	87.8 	87.2 	86.3 	87.0 	86.2 	83.6 	84.3 	84.6 	83.1 	84.2 	83.0 	83.6 	82.1 	82.6 	82.2 	84.0 	83.8 	82.5 	82.4 	82.6 	81.4 	84.5 	83.8 	85.4 	84.7 	83.4 	86.1 	84.2 	85.7 
DW_EXST,INX_Q,DK	116.05 p	115.72 	114.09 	109.95 	112.07 	110.60 	107.65 	105.32 	107.05 	105.61 	103.01 	101.06 	101.05 	100.60 	97.29 	93.77 	94.31 	94.78 	91.29 	90.04 	91.34 	91.20 	88.17 	87.18 	87.65 	87.44 	86.15 	86.18 	89.36 	92.59 	90.59 	91.55 	92.55 	91.78 	89.84 	89.22 	89.55 	88.71 	87.78 	93.80 	101.94 	104.77 	104.04 	105.18 	107.41 	107.35 	106.14 	105.77 	106.87 	104.85 	98.85 	92.27 	86.58 	80.41 	76.44 
DW_EXST,INX_Q,EE	116.30 	113.54 	110.74 	112.61 	110.75 	110.51 	108.33 	106.37 	104.31 	104.68 	102.05 	101.39 	99.77 	102.68 	96.17 	96.10 	96.15 	96.57 	92.46 	89.57 	88.21 	85.55 	80.21 	78.97 	78.78 	76.06 	74.70 	72.90 	72.32 	73.92 	72.60 	67.46 	67.80 	66.84 	66.89 	62.64 	60.55 	65.04 	72.12 	92.07 	107.34 	113.50 	111.73 	116.02 	119.91 	123.52 	116.83 	116.12 	109.55 	104.30 	90.28 	77.95 	68.16 	63.17 	56.19 
DW_EXST,INX_Q,ES	120.30 	117.69 	114.76 	113.30 	112.07 	109.98 	107.93 	105.74 	105.05 	103.98 	102.51 	101.24 	101.53 	100.85 	96.37 	97.38 	97.13 	97.12 	95.32 	95.71 	96.99 	96.89 	97.00 	103.72 	105.43 	110.24 	114.51 	120.67 	126.05 	130.81 	132.01 	139.82 	139.45 	142.60 	140.84 	142.13 	141.96 	142.62 	142.81 	147.26 	154.72 	160.56 	163.29 	164.97 	169.26 	168.85 	164.36 	161.07 	157.45 	153.11 	145.50 	139.63 	: 	: 	: 
DW_EXST,INX_Q,FI	101.27 	102.28 	100.72 	100.64 	101.40 	102.16 	100.71 	99.88 	100.75 	101.06 	99.44 	99.62 	100.25 	100.48 	99.65 	99.54 	100.59 	101.08 	100.60 	100.87 	101.47 	101.97 	101.30 	100.80 	100.72 	101.04 	100.16 	98.44 	99.78 	100.71 	99.06 	97.52 	97.74 	97.12 	95.37 	92.81 	90.15 	88.37 	85.84 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
