purchase,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 
TOTAL,I15_NAC_CP,AT	112.5 	101.9 	100.0 	102.3 	79.1 	79.9 	75.7 	70.6 
TOTAL,I15_NAC_CP,BE	175.8 dp	162.5 dp	100.0 dp	168.8 dp	150.1 dp	150.7 dp	150.1 dp	130.6 dp
TOTAL,I15_NAC_CP,BG	123.6 p	112.6 	100.0 	98.5 p	74.0 p	74.6 p	91.2 p	70.1 p
TOTAL,I15_NAC_CP,CY	192.7 p	138.3 p	100.0 p	81.4 p	74.4 	120.5 	124.3 	167.4 
TOTAL,I15_NAC_CP,CZ	110.3 p	113.1 p	100.0 	78.1 	73.8 	77.9 	69.6 	60.8 
TOTAL,I15_NAC_CP,DK	117.6 	101.6 	100.0 	79.5 	67.8 	63.6 	61.3 	75.4 
TOTAL,I15_NAC_CP,FI	108.6 p	100.8 	100.0 	100.1 	106.4 	121.8 	109.0 	103.8 
TOTAL,I15_NAC_CP,FR	: 	106.4 	100.0 	90.0 	91.2 	98.0 	111.1 	96.8 
TOTAL,I15_NAC_CP,HU	128.2 p	116.0 p	100.0 	74.7 	54.7 	52.7 	55.1 	59.3 
TOTAL,I15_NAC_CP,IE	131.3 	110.9 	100.0 	85.3 	57.2 	47.5 	38.2 	53.2 
TOTAL,I15_NAC_CP,IT	124.6 	120.4 	100.0 	97.3 	96.5 	110.6 	151.3 	150.5 
TOTAL,I15_NAC_CP,LU	134.0 	112.7 	100.0 d	100.5 d	81.7 d	80.1 d	79.3 d	70.7 d
TOTAL,I15_NAC_CP,MT	113.6 p	106.5 	100.0 	89.2 	66.7 	70.7 	68.9 	61.8 
TOTAL,I15_NAC_CP,NL	152.6 p	125.4 	100.0 	87.4 	54.5 	61.5 	70.0 	80.2 
TOTAL,I15_NAC_CP,NO	108.8 p	99.6 	100.0 	93.7 	90.7 	73.5 	65.3 	56.8 
TOTAL,I15_NAC_CP,PT	155.0 d	118.7 d	100.0 d	76.5 d	66.7 d	61.9 d	83.6 d	125.0 d
TOTAL,I15_NAC_CP,SE	117.0 e	107.1 e	100.0 	82.9 	72.8 	65.2 	62.7 	64.4 
TOTAL,I15_NAC_CP,SI	153.9 	119.0 	100.0 	79.7 	69.0 	90.1 	104.4 	127.1 
TOTAL,I15_NAC_CP,SK	72.1 	93.0 	100.0 	84.1 	93.5 	143.7 	151.5 	: 
TOTAL,I15_NAC_CP,UK	110.8 p	107.4 	100.0 	92.3 	77.4 	65.4 	62.9 	63.0 
TOTAL,PCH_PRE_NAC_CP,AT	10.4 	1.9 	-2.2 	29.2 	-1.0 	5.6 	7.2 	: 
TOTAL,PCH_PRE_NAC_CP,BE	8.2 dp	62.5 dp	-40.8 dp	12.5 dp	-0.4 dp	0.4 dp	14.9 dp	: 
TOTAL,PCH_PRE_NAC_CP,BG	9.8 p	12.6 	1.5 p	33.2 p	-0.8 p	-18.2 p	30.1 p	: 
TOTAL,PCH_PRE_NAC_CP,CY	39.4 p	38.3 p	22.8 p	9.5 p	-38.3 	-3.1 	-25.7 	: 
TOTAL,PCH_PRE_NAC_CP,CZ	-2.5 p	13.1 p	28.1 	5.7 	-5.2 	12.0 	14.5 	: 
TOTAL,PCH_PRE_NAC_CP,DK	15.7 	1.6 	25.9 	17.2 	6.5 	3.8 	-18.7 	: 
TOTAL,PCH_PRE_NAC_CP,FI	7.7 p	0.8 	-0.1 	-5.9 	-12.6 	11.7 	5.0 	: 
TOTAL,PCH_PRE_NAC_CP,FR	: 	6.4 	11.2 	-1.4 	-6.9 	-11.8 	14.8 	: 
TOTAL,PCH_PRE_NAC_CP,HU	10.5 p	16.0 p	33.8 	36.5 	3.9 	-4.5 	-7.1 	: 
TOTAL,PCH_PRE_NAC_CP,IE	18.4 	10.9 	17.2 	49.2 	20.5 	24.4 	-28.3 	: 
TOTAL,PCH_PRE_NAC_CP,IT	3.5 	20.4 	2.7 	0.9 	-12.8 	-26.8 	0.5 	: 
TOTAL,PCH_PRE_NAC_CP,LU	18.9 	12.7 d	-0.5 d	23.0 d	2.0 d	1.0 d	12.2 d	: 
TOTAL,PCH_PRE_NAC_CP,MT	6.7 p	6.5 	12.1 	33.7 	-5.6 	2.6 	11.5 	: 
TOTAL,PCH_PRE_NAC_CP,NL	21.7 p	25.4 	14.5 	60.4 	-11.4 	-12.2 	-12.7 	: 
TOTAL,PCH_PRE_NAC_CP,NO	9.2 p	-0.4 	6.7 	3.3 	23.4 	12.6 	15.1 	: 
TOTAL,PCH_PRE_NAC_CP,PT	30.6 d	18.7 d	30.8 d	14.7 d	7.7 d	-25.9 d	-33.2 d	: 
TOTAL,PCH_PRE_NAC_CP,SE	9.2 e	7.1 e	20.7 	13.8 	11.6 	4.1 	-2.6 	: 
TOTAL,PCH_PRE_NAC_CP,SI	29.3 	19.0 	25.5 	15.4 	-23.4 	-13.7 	-17.9 	: 
TOTAL,PCH_PRE_NAC_CP,SK	-22.4 	-7.0 	18.9 	-10.1 	-34.9 	-5.2 	-65.7 	: 
TOTAL,PCH_PRE_NAC_CP,UK	3.2 p	7.4 	8.3 	19.4 	18.3 	4.0 	-0.3 	: 
