currency,geo\time	2019S1 	2018S2 	2018S1 	2017S2 	2017S1 	2016S2 	2016S1 	2015S2 	2015S1 	2014S2 	2014S1 	2013S2 	2013S1 	2012S2 	2012S1 	2011S2 	2011S1 	2010S2 	2010S1 	2009S2 	2009S1 	2008S2 	2008S1 	2007S2 	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 
EUR,AL	210.66	190.58	180.52	181.01	162.69	160.2	160.26	157.6	156.99	156.85	156.92	156.07	150.44	151.99	143.96	141.43	136.92	139.25	130.47	137.66	137.32	139.29	131.38	114.91	113.04	113.57	96.26	95.22	85.48	87.76	74.9	74.4	67.06	67.75	62.78	60.13	52.8	52.36	46.98	45.12	: 
EUR,AT	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,BE	1593.81	1562.59	1562.59	1562.59	1531.93	1531.93	1501.82	1501.82	1501.82	1501.82	1501.82	1501.82	1501.82	1472.42	1443.54	1443.54	1415.24	1387.5	1387.5	1387.5	1387.5	1335.8	1309.6	1283	1259	1234	1234	1210	1210	1186.31	1186.31	1186.31	1163.02	1163.02	1140.24	1140.24	1117.88	1095.89	1095.89	1095.89	1074.44
EUR,BG	286.33	260.76	260.76	235.2	235.2	214.75	214.75	194.29	184.07	173.84	173.84	158.5	158.5	148.28	138.05	122.71	122.71	122.71	122.71	122.71	122.71	112.49	112.49	92.03	92.03	81.81	81.79	76.69	76.69	61.35	61.36	56.52	56.28	51.24	51.38	43.65	40.42	38.35	34.26	34.26	31.19
EUR,CH	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,CY	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,CZ	518.97	468.87	477.78	419.9	407.09	364.9	366.35	340.35	331.71	309.62	309.91	308.3	318.08	312.01	310.23	328.61	319.22	311.39	302.19	309.1	297.67	334.83	300.44	278.57	291.07	279.19	261.03	239.26	235.85	210.99	206.73	196.38	196.35	194.76	178.34	148.02	142.67	126.33	110.79	98.85	92.35
EUR,DE	1557	1498	1498	1498	1498	1440	1440	1440	1440	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,DK	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,EE	540	500	500	470	470	430	430	390	390	355	355	320	320	290	290	278.02	278.02	278.02	278.02	278.02	278.02	278.02	278.02	230.08	230.08	191.73	191.73	171.92	171.92	158.5	158.5	138.05	138.05	118.24	118.24	102.26	102.26	89.48	89.48	79.89	79.89
EUR,EL	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	876.62	876.62	862.82	862.82	862.82	862.82	817.83	794.02	794.02	767.55	730.3	709.71	709.71	667.68	667.68	630.77	630.77	606.52	606.52	582	571.71	551.7	543.55	533.93	526.05	512.13	505.06
EUR,ES	1050	858.55	858.55	825.65	825.65	764.4	764.4	756.7	756.7	752.85	752.85	752.85	752.85	748.3	748.3	748.3	748.3	738.85	738.85	728	728	700	700	665.7	665.7	631.05	631.05	598.5	598.5	572.6	537.25	526.4	526.4	515.9	515.9	505.69	505.69	495.6	495.6	485.71	485.71
EUR,FI	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,FR	1521.22	1498.47	1498.47	1480.27	1480.27	1466.62	1466.62	1457.52	1457.52	1445.38	1445.38	1430.22	1430.22	1425.67	1398.37	1365	1365	1343.77	1343.77	1337.7	1321.02	1321.02	1280.07	1280.07	1254.28	1254.28	1217.88	1217.88	1286.09	1286.09	1215.11	1215.11	1154.27	1154.27	1127.23	1127.23	1083.29	1083.29	1049.49	1049.49	1035.97
EUR,HR	505.9	465.72	462.34	442.09	433.35	414.45	408.48	399.05	395.61	398.31	395.67	400.67	372.35	374.31	373.36	380.18	381.15	390.94	385.48	386.91	373.46	379.6	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,HU	464.2	418.47	444.69	412.66	411.52	350.09	351.29	340.58	332.76	328.16	341.7	332.37	335.27	323.17	295.63	293.11	280.63	256.99	271.8	263.3	268.09	293.08	271.94	266.1	260.16	220.58	247.16	230.55	231.74	210.65	201.9	187.54	211.6	204.14	203.93	164.18	150.94	98.02	100.12	90.13	89.15
EUR,IE	1656.2	1613.95	1613.95	1563.25	1563.25	1546.35	1546.35	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1402.7	1292.85	1292.85	1292.85	1183	1183	1073.15	1073.15	1073.15	1008.93	1008.93	1008.93	944.71	944.71	: z	: z	: z
EUR,IS	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,IT	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,LT	555	400	400	380	380	380	350	325	300	289.62	289.62	289.62	289.62	231.7	231.7	231.7	231.7	231.7	231.7	231.7	231.7	231.7	231.7	202.73	173.77	173.77	159.29	159.29	144.81	144.81	130.34	124.54	124.55	124.55	122.06	126.75	115.5	112.61	107.05	104.05	92.14
EUR,LU	2071.1	1998.59	1998.59	1998.59	1998.59	1922.96	1922.96	1922.96	1922.96	1921.03	1921.03	1874.19	1874.19	1801.49	1801.49	1757.56	1757.56	1724.81	1682.76	1682.76	1641.74	1609.53	1570.28	1570.28	1570.28	1503.42	1503.42	1466.77	1466.77	1402.96	1402.96	1368.74	1368.74	1322.47	1290.21	1290.21	1258.75	1220.88	1191.13	1162.08	1162.08
EUR,LV	430	430	430	380	380	370	370	360	360	320	320	284.74	286.66	287.07	285.92	281.97	281.93	253.77	253.77	255.83	254.13	227.05	229.75	172.34	172.12	129.29	129.27	114.93	114.63	121.77	118.96	107.87	114.01	100.18	107.86	111.3	86.75	87.78	85.02	80.49	75.18
EUR,ME	: 	: 	: 	: 	288.05	288.05	288.05	288.05	288.05	288.05	288.05	288.05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MK	: 	: 	: 	: 	239.74	236.05	227.06	227.04	213.72	213.02	213.62	198.95	199.48	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,MT	757.64	747.54	747.54	735.63	735.63	728.04	728.04	720.46	720.46	717.95	717.95	702.82	702.82	685.14	685.14	664.95	664.95	659.92	659.92	634.88	634.88	617.21	617.21	601.9	601.9	584.24	584.24	561.53	555.06	547.69	540.84	539.56	550.53	532.39	557.45	547.76	530.42	509.59	505.05	482.98	464.93
EUR,NL	1615.8	1594.2	1578	1565.4	1551.6	1537.2	1524.6	1507.8	1501.8	1495.2	1485.6	1477.8	1469.4	1456.2	1446.6	1435.2	1424.4	1416	1407.6	1398.6	1381.2	1356.6	1335	1317	1300.8	1284.6	1272.6	1264.8	1264.8	1264.8	1264.8	1264.8	1249.2	1231.8	1206.6	1180.4	1154.5	1110.8	1092	1078.4	1064.2
EUR,NO	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,PL	523.09	480.2	502.75	473.27	453.48	417.02	433.88	422.35	409.53	404.16	404.4	368.87	392.73	353.04	336.47	347.34	348.68	317.58	320.87	286.61	307.21	335.99	313.34	248.43	244.32	221.72	232.9	210.21	207.86	182.16	175.25	178.67	198.96	187.2	217.43	225.55	197.41	167.32	161.11	160.18	158.94
EUR,PT	700	676.67	676.67	649.83	649.83	618.33	618.33	589.17	589.17	565.83	565.83	565.83	565.83	565.83	565.83	565.83	565.83	554.17	554.17	525	525	497	497	470.17	470.17	449.98	449.98	437.15	437.15	425.95	425.95	416.03	416.03	406.01	406.01	389.89	389.89	371.27	371.27	356.72	356.72
EUR,RO	446.02	407.45	407.86	318.52	275.39	276.34	232.1	238.38	217.5	205.34	190.11	179.36	157.5	157.26	161.91	157.89	157.2	137.3	141.63	142.61	149.16	137.31	138.59	124.44	115.27	92.43	89.67	86.04	78.7	68.92	68.03	66.38	71.15	52.38	50.33	56.64	41.42	34.29	24.53	27.46	27.31
EUR,RS	308.04	282.51	285.41	253.1	247.93	230.14	233.53	236.4	235.04	232.68	235.3	236.27	239.24	234.9	229.99	234.88	212.88	203.29	222.37	220.23	232.99	233.09	208.37	188.51	161.97	145.58	137.95	126.56	124.7	123.9	115.95	104.88	101.46	92.72	: 	: 	: 	: 	: 	: 	: 
EUR,SE	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
